Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
5.0841E-07,12,-4.98729E-06,-4.3E-11,0,0,0,0,0,0
1.17958E-06,12.00180241,-4.98343E-06,-2.141E-09,2.864084161,0.054558919,0,-0.054567821,-3.372E-09,8.24799E-06
2.54119E-06,11.99897409,-4.96706E-06,-1.2391E-08,2.744115111,0.052273587,0,-0.052282006,-1.22467E-05,0.010150141
4.48696E-06,11.99154059,-4.93194E-06,-3.6199E-08,2.624154647,0.04998842,0,-0.049996394,-0.000128573,0.065906075
6.31774E-06,11.98256126,-4.88401E-06,-7.9385E-08,2.504254341,0.047704398,0,-0.047711983,-0.000522621,0.199541469
6.01591E-06,11.97489407,-4.86079E-06,-1.54373E-07,2.384444077,0.045422091,0,-0.045429353,-0.00139799,0.434496554
-2.4161E-07,11.96968392,-4.95478E-06,-2.91989E-07,2.26472121,0.043141449,0,-0.043148454,-0.002944497,0.780986986
-1.78443E-05,11.96619704,-0.000005332,-5.54992E-07,2.145062928,0.040862038,0,-0.040868839,-0.005304931,1.235423325
-5.37033E-05,11.96301971,-6.25253E-06,-1.05187E-06,2.025446523,0.038583424,0,-0.038590051,-0.008553425,1.78675948
-0.000116744,11.95939359,-8.09439E-06,-1.95407E-06,1.905862303,0.036305423,0,-0.036311867,-0.012683488,2.422448954
-0.000218244,11.95562132,-1.13745E-05,-3.5172E-06,1.78631207,0.03402807,0,-0.03403427,-0.017601397,3.126333501
-0.000371443,11.95246069,-1.67593E-05,-6.10339E-06,1.666798964,0.031751424,0,-0.031757256,-0.023124063,3.87237329
-0.00058974,11.95026787,-2.50502E-05,-1.01979E-05,1.54731967,0.029475422,0,-0.029480692,-0.028985491,4.624918737
-0.000883776,11.94869954,-3.71331E-05,-1.64105E-05,1.427865118,0.027199891,0,-0.027204327,-0.034855917,5.34846945
-0.001258751,11.94713941,-5.38944E-05,-2.5456E-05,1.308427012,0.024924674,0,-0.024927937,-0.040371982,6.017439045
-0.00171303,11.94533458,-7.6107E-05,-3.81144E-05,1.189002778,0.022649721,0,-0.022651426,-0.045171959,6.615682955
-0.002237739,11.94361521,-0.0001043,-5.51789E-05,1.069594307,0.020375068,0,-0.020374811,-0.048932138,7.127949195
-0.002816143,11.94253398,-0.000138622,-7.73969E-05,0.950202374,0.01810073,0,-0.018098124,-0.051404774,7.535503046
-0.003423137,11.94231085,-0.000178725,-0.000105404,0.830822541,0.015826623,0,-0.015821334,-0.05245715,7.823636656
-0.004026949,11.94260448,-0.000223699,-0.000139651,0.71144641,0.013552586,0,-0.013544376,-0.052103594,7.995194934
-0.004593535,11.94279011,-0.000272087,-0.000180346,0.592066907,0.011278485,0,-0.011267238,-0.050516085,8.0777465
-0.005092034,11.94245893,-0.000321969,-0.000227409,0.472682697,0.009004294,0,-0.008990001,-0.04800433,8.119467404
-0.005500008,11.94169215,-0.000371137,-0.000280472,0.353297967,0.006730094,0,-0.006712776,-0.044887229,8.166210575
-0.005805676,11.94090595,-0.000417315,-0.000338923,0.233918148,0.004455987,0,-0.004435563,-0.04127361,8.222110983
-0.00600661,11.94044933,-0.000458374,-0.000401969,0.114545461,0.002182016,0,-0.002158124,-0.037229558,8.278646989
-0.006107209,11.9403261,-0.000492494,-0.000468708,-0.004824384,0,0,2.81974E-05,-0.032824794,8.329403818
-0.00611588,11.94025532,-0.000518272,-0.000538231,-0.124233825,0,0,3.39813E-05,-0.028229315,8.3748673
-0.006042974,11.93996486,-0.00053482,-0.000609647,-0.243643458,0,0,4.19397E-05,-0.023598994,8.42056839
-0.005900349,11.93942995,-0.000541824,-0.00068205,-0.363051892,0,0,5.28234E-05,-0.018981119,8.471193308
-0.005700929,11.93885926,-0.000539512,-0.00075448,-0.482456357,0,0,6.75492E-05,-0.01442818,8.526346836
-0.005457485,11.93847783,-0.000528557,-0.000825931,-0.601855389,0,0,8.72613E-05,-0.00999389,8.581386757
-0.005181139,11.93832515,-0.000509948,-0.000895421,-0.721249989,0,0,0.000113276,-0.0057249,8.631869563
-0.004880341,11.93824256,-0.000484847,-0.000962051,-0.840642428,0,0,0.000146933,-0.001655102,8.677228099
-0.004560678,11.93803609,-0.00045448,-0.001025038,-0.960034084,0,0,0.000189432,0.002192802,8.720583503
-0.00422572,11.93764985,-0.000420066,-0.001083694,-1.079424319,0,0,0.000241758,0.005800787,8.765359199
-0.003878238,11.93719778,-0.000382747,-0.001137403,-1.198811261,0,0,0.000304683,0.009150431,8.812071831
-0.003521173,11.93684444,-0.000343521,-0.001185609,-1.318193572,0,0,0.000378804,0.012222984,8.858063115
-0.003157915,11.93665733,-0.000303198,-0.001227836,-1.437571546,0,0,0.000464538,0.015003385,8.900021765
-0.002792137,11.9365618,-0.000262411,-0.00126372,-1.556946677,0,0,0.000562089,0.017483885,8.93676157
-0.002427483,11.93642381,-0.000221627,-0.001293026,-1.676320261,0,0,0.000671417,0.019664469,8.969824975
-0.002067384,11.93617251,-0.000181183,-0.001315636,-1.795692359,0,0,0.000792225,0.021550378,9.001685353
-0.001715134,11.93585197,-0.000141326,-0.001331539,-1.915061962,0,0,0.000924001,0.023149469,9.033419883
-0.001374074,11.93556736,-0.000102238,-0.001340809,-2.034428055,0,0,0.001066066,0.024471388,9.063924158
-0.001047686,11.93538606,-6.40687E-05,-0.001343614,-2.153790541,0,0,0.001217617,0.025528667,9.091134242
-0.00073897,11.93528478,-2.69285E-05,-0.001340231,-2.273150257,0,0,0.001377731,0.026341139,9.113937469
-0.000450013,11.93518197,9.06658E-06,-0.001331032,-2.392508187,0,0,0.001545355,0.026933154,9.133036746
-0.000181917,11.93501573,4.3784E-05,-0.001316462,-2.511864664,0,0,0.001719338,0.027330274,9.150165472
6.52247E-05,11.93479417,7.70792E-05,-0.001297032,-2.631219243,0,0,0.00189847,0.02755902,9.166566943
0.000292257,11.93457851,0.000108802,-0.00127329,-2.750571266,0,0,0.002081506,0.027646545,9.182140611
0.00050082,11.93442276,0.000138802,-0.001245817,-2.869920531,0,0,0.00226719,0.027619541,9.195904278
0.000693141,11.93432768,0.000166938,-0.001215195,-2.989267481,0,0,0.002454277,0.027502988,9.207197677
0.000871845,11.93424679,0.000193079,-0.001182,-3.108612807,0,0,0.002641563,0.027319333,9.216492481
0.001039783,11.93413243,0.000217114,-0.001146782,-3.227956891,0,0,0.002827905,0.02708823,9.225167811
0.001199883,11.93397664,0.000238962,-0.001110059,-3.347299586,0,0,0.00301224,0.026826708,9.234461442
0.001355032,11.93381252,0.00025857,-0.001072307,-3.466640485,0,0,0.003193586,0.026549155,9.244484738
0.001507873,11.93368014,0.000275912,-0.001033953,-3.58597937,0,0,0.003371064,0.026267223,9.254537984
0.001660626,11.93359102,0.000290996,-0.000995374,-3.705316446,0,0,0.003543892,0.025989684,9.26387272
0.001814975,11.93352213,0.000303854,-0.000956891,-3.824652171,0,0,0.003711399,0.025722388,9.272341234
0.001972043,11.93344031,0.000314545,-0.000918766,-3.943986902,0,0,0.003873027,0.025468652,9.280441369
0.002132454,11.93333221,0.000323143,-0.000881208,-4.063320666,0,0,0.004028326,0.025229555,9.288800007
0.002296425,11.93321301,0.00032973,-0.000844359,-4.182653255,0,0,0.004176963,0.025003423,9.297616084
