time.TIME,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
0,6.35897E-07,15,-4.99067E-06,-1.1E-11,0,0,0,0,0,0
0.01,1.38495E-06,15.00180728,-4.98654E-06,-2.346E-09,-2.862123631,0,0,-1.93068E-06,-1.3E-11,8.06839E-06
0.02,2.96702E-06,14.99907833,-4.96799E-06,-1.4029E-08,-2.712111042,0,0,-1.9406E-06,-1.4413E-08,0.009919591
0.03,5.32054E-06,14.99191911,-4.9269E-06,-4.0971E-08,-2.562106541,0,0,-1.98247E-06,-7.349E-08,0.064384331
0.04,8.27343E-06,14.98328516,-4.85846E-06,-8.7371E-08,-2.412160132,0,0,-2.07406E-06,-1.3011E-07,0.194874061
0.05,1.16367E-05,14.97583556,-4.76438E-06,-1.55941E-07,-2.262300393,0,0,-2.22735E-06,-3.0685E-08,0.424180728
0.06,1.52707E-05,14.97059796,-4.65171E-06,-2.48018E-07,-2.112525158,0,0,-2.44797E-06,4.73815E-07,0.762474301
0.07,1.90843E-05,14.96690004,-4.53174E-06,-3.63291E-07,-1.962813791,0,0,-2.73611E-06,1.68571E-06,1.206887607
0.08,2.30197E-05,14.96350099,-4.41588E-06,-4.9992E-07,-1.813145893,0,0,-3.08711E-06,3.88375E-06,1.747294776
0.09,2.70326E-05,14.95976507,-4.31438E-06,-6.55136E-07,-1.663512648,0,0,-3.49322E-06,7.31252E-06,2.371489542
0.1,3.10871E-05,14.95597329,-4.23513E-06,-8.26021E-07,-1.513915127,0,0,-3.94538E-06,1.20655E-05,3.063370638
0.11,3.51571E-05,14.95277393,-4.18305E-06,-1.00992E-06,-1.364355329,0,0,-4.43497E-06,1.81794E-05,3.797851743
0.12,3.92279E-05,14.95046118,-4.16025E-06,-1.20429E-06,-1.214829635,0,0,-4.9546E-06,2.55681E-05,4.541434654
0.13,4.32925E-05,14.94874864,-4.16653E-06,-1.4062E-06,-1.065329601,0,0,-5.49772E-06,3.39885E-05,5.260487458
0.14,4.7341E-05,14.94713291,-4.19981E-06,-1.61214E-06,-0.915847464,0,0,-6.05794E-06,4.3019E-05,5.929297935
0.15,5.135E-05,14.94540292,-4.25647E-06,-1.81823E-06,-0.766380173,0,0,-6.62864E-06,5.21072E-05,6.529949912
0.16,5.52806E-05,14.94380186,-4.33199E-06,-2.02072E-06,-0.616928343,0,0,-7.20334E-06,6.06778E-05,7.046120845
0.17,5.90829E-05,14.94273984,-4.42089E-06,-2.21639E-06,-0.467491863,0,0,-7.77635E-06,6.8241E-05,7.460371121
0.18,6.27076E-05,14.94237306,-4.51747E-06,-2.40261E-06,-0.318066752,0,0,-8.34319E-06,7.44484E-05,7.760460735
0.19,6.61118E-05,14.94244075,-4.62077E-06,-2.5772E-06,-0.168646147,0,0,-8.90025E-06,7.91173E-05,7.949929239
0.2,6.92589E-05,14.94247559,-4.72434E-06,-2.7381E-06,-0.019224263,0,0,-9.44358E-06,8.22617E-05,8.053835205
0.21,7.21106E-05,14.94216512,-4.82387E-06,-2.88355E-06,-0.130200364,0,0,-9.97061E-06,8.41086E-05,8.116415596
0.22,7.46277E-05,14.94154424,-4.91762E-06,-3.01239E-06,-0.279625029,0,0,-1.04787E-05,8.50364E-05,8.18137873
0.23,7.6779E-05,14.94088658,-5.00468E-06,-3.12422E-06,-0.429045913,0,0,-1.09654E-05,8.51751E-05,8.253883802
0.24,7.85486E-05,14.94042927,-5.08458E-06,-3.21936E-06,-0.57846124,0,0,-1.14296E-05,8.46217E-05,8.328181529
0.25,7.99375E-05,14.94018593,-5.1572E-06,-3.2985E-06,-0.727872075,0,0,-1.18706E-05,8.34681E-05,8.399761038
0.26,8.09597E-05,14.93998531,-5.22276E-06,-3.36246E-06,-0.877280626,0,0,-1.22884E-05,8.17756E-05,8.468501933
0.27,8.16366E-05,14.93965864,-5.2817E-06,-3.41203E-06,-1.026687997,0,0,-1.26828E-05,7.95851E-05,8.537497824
0.28,8.19914E-05,14.93918856,-5.33454E-06,-3.44819E-06,-1.17609338,0,0,-1.30538E-05,7.6948E-05,8.609374108
0.29,8.20494E-05,14.93869953,-5.38185E-06,-3.47225E-06,-1.325495105,0,0,-1.34018E-05,7.39477E-05,8.683702847
0.3,8.18394E-05,14.93832603,-5.42419E-06,-3.48583E-06,-1.474892279,0,0,-1.37277E-05,7.06908E-05,8.757528555
0.31,8.13955E-05,14.93809315,-5.46213E-06,-3.49069E-06,-1.624285474,0,0,-1.40333E-05,6.72785E-05,8.82801061
0.32,8.07553E-05,14.93791045,-5.49617E-06,-3.48852E-06,-1.773676036,0,0,-1.43203E-05,6.37841E-05,8.894551246
0.33,7.99581E-05,14.93766658,-5.52726E-06,-3.4808E-06,-1.923064809,0,0,-1.45905E-05,6.02539E-05,8.95866243
0.34,7.90333E-05,14.93732742,-5.55553E-06,-3.46893E-06,-2.072451487,0,0,-1.48454E-05,5.67279E-05,9.022047264
