time.TIME,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
0,6.35897E-07,15,-4.99067E-06,-1.1E-11,0,0,0,0,0,0
0.01,1.38495E-06,15.00180728,-4.98654E-06,-2.346E-09,-4.17402E-05,-0.010928986,-0.182984147,2.454528154,-1.3E-11,8.06839E-06
0.02,2.96702E-06,14.99907833,-4.96799E-06,-1.4029E-08,-3.9552E-05,-0.010356053,-0.173391532,2.247460549,-1.4131E-08,0.009919591
0.03,5.32054E-06,14.99191911,-4.9269E-06,-4.0971E-08,-3.73639E-05,-0.00978312,-0.163798899,2.042924926,-7.0459E-08,0.064384331
0.04,8.27345E-06,14.98328516,-4.85846E-06,-8.7371E-08,-3.51764E-05,-0.009210358,-0.154209149,1.842282847,-1.17368E-07,0.194874061
0.05,1.16368E-05,14.97583556,-4.76438E-06,-1.55941E-07,-3.29899E-05,-0.008637866,-0.144623907,1.646822257,4.87E-09,0.424180728
0.06,1.52711E-05,14.97059796,-4.65171E-06,-2.48015E-07,-3.08044E-05,-0.00806563,-0.135042942,1.45774159,5.52688E-07,0.762474301
0.07,1.90854E-05,14.96690004,-4.53172E-06,-3.63284E-07,-2.86196E-05,-0.007493569,-0.12546493,1.276165085,1.83681E-06,1.206887607
0.08,2.30223E-05,14.96350099,-4.41581E-06,-4.999E-07,-2.64352E-05,-0.006921612,-0.115888645,1.103164588,4.14517E-06,1.747294776
0.09,2.7038E-05,14.95976507,-4.31424E-06,-6.55087E-07,-2.4251E-05,-0.006349732,-0.106313654,0.939767896,7.73121E-06,2.371489542
0.1,3.10972E-05,14.95597329,-4.23484E-06,-8.25915E-07,-2.20672E-05,-0.005777943,-0.096740176,0.786949363,1.2697E-05,3.063370638
0.11,3.51744E-05,14.95277393,-4.18251E-06,-1.00971E-06,-1.98838E-05,-0.00520626,-0.087168482,0.645613901,1.90854E-05,3.797851743
0.12,3.9256E-05,14.95046118,-4.1593E-06,-1.2039E-06,-1.77008E-05,-0.004634678,-0.077598467,0.516587145,2.68125E-05,4.541434654
0.13,4.33356E-05,14.94874864,-4.16497E-06,-1.40552E-06,-1.55181E-05,-0.004063169,-0.068029699,0.400614956,3.56334E-05,5.260487458
0.14,4.74042E-05,14.94713291,-4.19737E-06,-1.61103E-06,-1.33356E-05,-0.003491713,-0.058461788,0.298366247,4.51189E-05,5.929297935
0.15,5.1439E-05,14.94540292,-4.25279E-06,-1.81648E-06,-1.11533E-05,-0.002920302,-0.048894651,0.210432322,5.47039E-05,6.529949912
0.16,5.54014E-05,14.94380186,-4.32664E-06,-2.01806E-06,-8.97114E-06,-0.002348946,-0.039328435,0.137321739,6.37958E-05,7.046120845
0.17,5.95985E-05,14.94273984,-4.40522E-06,-2.21199E-06,-6.78924E-06,-0.001777651,-0.029763228,0.079454842,0.002471416,7.460371121
0.18,7.16013E-05,14.94237306,-4.33756E-06,-2.37316E-06,-4.60752E-06,-0.001206402,-0.020198812,0.037161579,0.006188837,7.760460735
0.19,0.000108063,14.94244074,-3.76847E-06,-2.38558E-06,-2.42578E-06,-0.00063515,-0.010634332,0.010682133,0.007809078,7.949929245
0.2,0.000177504,14.94247557,-2.27789E-06,-2.02364E-06,-2.43749E-07,-6.38216E-05,-0.001068566,0.000169484,0.008170575,8.053835282
0.21,0.000271656,14.94216509,4.63129E-07,-1.03853E-06,-0.130200364,0,0,-1.03757E-05,0.008092409,8.116415889
0.22,0.000375956,14.94154417,4.6195E-06,7.62979E-07,-0.279625029,0,0,-1.12816E-05,0.007940122,8.181379418
0.23,0.000477115,14.94088648,1.01471E-05,3.49461E-06,-0.429045912,0,0,-1.23029E-05,0.007727619,8.253885061
0.24,0.000565709,14.94042913,1.68056E-05,7.19834E-06,-0.578461239,0,0,-1.3397E-05,0.007460007,8.328183492
0.25,0.000636131,14.94018576,2.42097E-05,1.186E-05,-0.727872072,0,0,-1.45001E-05,0.007144072,8.399763735
0.26,0.000685986,14.93998512,3.18966E-05,1.74234E-05,-0.877280622,0,0,-1.55422E-05,0.006787544,8.468505274
0.27,0.000715302,14.93965843,3.93915E-05,2.38017E-05,-1.02668799,0,0,-1.64648E-05,0.006398607,8.537501668
