time.TIME,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
0,4.23682E-07,10,-4.98719E-06,-4.7E-11,0,0,0,0,0,0
0.01,1.04165E-06,10.00169493,-4.98339E-06,-1.996E-09,2.867123451,0,0,-1.93139E-06,-3.1E-11,8.13741E-06
0.02,2.27562E-06,9.998214342,-4.96864E-06,-1.1406E-08,2.767111434,0,0,-1.9398E-06,-3.6374E-08,0.010025033
0.03,4.09339E-06,9.989797769,-4.93649E-06,-3.3163E-08,2.667112474,0,0,-1.9737E-06,-2.13692E-07,0.06519328
0.04,6.33292E-06,9.979199139,-4.88292E-06,-7.0946E-08,2.56718272,0,0,-2.04784E-06,-5.39708E-07,0.198068834
0.05,8.84265E-06,9.969275889,-4.80942E-06,-1.27341E-07,2.467357361,0,0,-2.17258E-06,-8.85483E-07,0.433318844
0.06,1.15146E-05,9.961429602,-4.72287E-06,-2.03925E-07,2.367640652,0,0,-2.35328E-06,-9.9978E-07,0.783521326
0.07,1.42709E-05,9.955322871,-4.63188E-06,-3.00785E-07,2.268014837,0,0,-2.59098E-06,-5.58584E-07,1.24740196
0.08,1.70445E-05,9.949942662,-4.54547E-06,-4.16219E-07,2.168458584,0,0,-2.88276E-06,7.38811E-07,1.814791774
0.09,1.97884E-05,9.944815259,-4.47201E-06,-5.47384E-07,2.068959255,0,0,-3.22197E-06,3.08462E-06,2.471556955
0.1,2.24645E-05,9.940357631,-4.41809E-06,-6.91391E-07,1.969512169,0,0,-3.60003E-06,6.57109E-06,3.197637175
0.11,2.50486E-05,9.937243207,-4.38782E-06,-8.45788E-07,1.87011206,0,0,-4.00871E-06,1.12199E-05,3.962060972
0.12,2.75384E-05,9.935554404,-4.38264E-06,-1.00834E-06,1.770747292,0,0,-4.44105E-06,1.69618E-05,4.725263658
0.13,2.99476E-05,9.934571304,-4.4018E-06,-1.17646E-06,1.671402673,0,0,-4.89103E-06,2.35661E-05,5.450850386
0.14,3.22899E-05,9.933362349,-4.44276E-06,-1.34693E-06,1.572067498,0,0,-5.35278E-06,3.0595E-05,6.115887682
0.15,3.45659E-05,9.931575069,-4.50189E-06,-1.51619E-06,1.472740557,0,0,-5.82012E-06,3.74705E-05,6.708422271
0.16,3.67533E-05,9.929687597,-4.57486E-06,-1.68095E-06,1.373427145,0,0,-6.28703E-06,4.36338E-05,7.215485238
0.17,3.88218E-05,9.928524438,-4.65767E-06,-1.83867E-06,1.274130875,0,0,-6.74847E-06,4.86725E-05,7.616753947
0.18,4.07399E-05,9.928508868,-4.74973E-06,-1.9876E-06,1.174847634,0,0,-7.20052E-06,5.24029E-05,7.893504486
0.19,4.24873E-05,9.929314766,-4.84407E-06,-2.12611E-06,1.075566767,0,0,-7.63988E-06,5.46896E-05,8.045745987
0.2,4.4046E-05,9.93017539,-4.93761E-06,-2.25261E-06,0.976277941,0,0,-8.06454E-06,5.55205E-05,8.101818465
0.21,4.53959E-05,9.930517922,-5.02857E-06,-2.36566E-06,0.876977458,0,0,-8.47168E-06,5.50495E-05,8.113435108
0.22,4.65133E-05,9.930352375,-5.1154E-06,-2.46444E-06,0.777668899,0,0,-8.85854E-06,5.35687E-05,8.129753364
0.23,4.73768E-05,9.930122197,-5.1967E-06,-2.54916E-06,0.678358299,0,0,-9.22341E-06,5.12822E-05,8.156091905
0.24,4.79755E-05,9.930218306,-5.27147E-06,-2.62088E-06,0.579048603,0,0,-9.56605E-06,4.84137E-05,8.183377583
0.25,4.83142E-05,9.930626168,-5.33935E-06,-2.68099E-06,0.479738096,0,0,-9.8873E-06,4.51498E-05,8.204542502
0.26,4.841E-05,9.930994763,-5.40056E-06,-2.7308E-06,0.380423388,0,0,-1.01882E-05,4.15834E-05,8.220646892
0.27,4.82843E-05,9.931008491,-5.45577E-06,-2.77142E-06,0.281103516,0,0,-1.04696E-05,3.77532E-05,8.238703367
0.28,4.79568E-05,9.930689865,-5.50584E-06,-2.80411E-06,0.181781224,0,0,-1.07317E-05,3.37315E-05,8.264257101
0.29,4.74466E-05,9.930366647,-5.5517E-06,-2.83056E-06,0.08246051,0,0,-1.09754E-05,2.9673E-05,8.29603424
0.3,4.6778E-05,9.930365297,-5.59422E-06,-2.85288E-06,0.01685694,0,0,-1.12024E-05,2.57796E-05,8.327268825
0.31,4.59839E-05,9.930728761,-5.63413E-06,-2.87319E-06,-0.116173114,0,0,-1.14148E-05,2.22142E-05,8.351871092
0.32,4.51037E-05,9.931204816,-5.67189E-06,-2.89322E-06,-0.215491752,0,0,-1.1615E-05,1.9045E-05,8.369509885
0.33,4.4176E-05,9.931488936,-5.7077E-06,-2.91419E-06,-0.314815088,0,0,-1.18049E-05,1.62644E-05,8.385246561
0.34,4.32327E-05,9.931485042,-5.74209E-06,-2.93708E-06,-0.414142179,0,0,-1.19858E-05,1.38608E-05,8.404579403
0.35,4.22923E-05,9.931357707,-5.77429E-06,-2.96291E-06,-0.513470085,0,0,-1.21588E-05,1.18783E-05,8.428669195
0.36,4.13752E-05,9.93135556,-5.80374E-06,-2.99286E-06,-0.612796573,0,0,-1.23256E-05,1.04018E-05,8.453856545
0.37,4.05003E-05,9.931585638,-5.83013E-06,-3.02799E-06,-0.712121839,0,0,-1.24882E-05,9.49219E-06,8.47535799
0.38,3.96872E-05,9.931939451,-5.85323E-06,-3.06892E-06,-0.81144793,0,0,-1.26483E-05,9.13789E-06,8.491460168
0.39,3.89528E-05,9.932216169,-5.87274E-06,-3.11576E-06,-0.910776648,0,0,-1.28069E-05,9.25689E-06,8.504527843
0.4,3.83048E-05,9.932311626,-5.88856E-06,-3.16821E-06,-1.010107962,0,0,-1.29642E-05,9.7526E-06,8.518338611
0.41,3.77153E-05,9.93230004,-5.89189E-06,-3.22565E-06,-1.109440251,0,0,-1.31202E-05,1.0551E-05,8.53451519
0.42,3.71975E-05,9.932349619,-5.89094E-06,-3.28779E-06,-1.208771939,0,0,-1.32757E-05,1.15538E-05,8.551282641
0.43,3.67505E-05,9.932564418,-5.88535E-06,-3.35438E-06,-1.308102929,0,0,-1.34287E-05,1.28875E-05,8.565364861
0.44,3.63741E-05,9.93289949,-5.87285E-06,-3.42496E-06,-1.407434591,0,0,-1.35791E-05,1.44684E-05,8.575018339
0.45,3.6067E-05,9.933215297,-5.85302E-06,-3.49877E-06,-1.506768464,0,0,-1.37268E-05,1.62161E-05,8.581409839
0.46,3.58271E-05,9.933408533,-5.82697E-06,-3.57485E-06,-1.606104948,0,0,-1.3871E-05,1.80338E-05,8.587322823
0.47,3.56458E-05,9.933497009,-5.79647E-06,-3.65228E-06,-1.705443132,0,0,-1.40102E-05,1.98586E-05,8.59462015
0.48,3.55152E-05,9.933589945,-5.76306E-06,-3.73034E-06,-1.80478177,0,0,-1.41427E-05,2.16838E-05,8.60280908
0.49,3.54298E-05,9.933782463,-5.72825E-06,-3.80852E-06,-1.904120442,0,0,-1.42676E-05,2.35237E-05,8.609833267
0.5,3.53879E-05,9.934074525,-5.69333E-06,-3.88632E-06,-2.003459868,0,0,-1.43842E-05,2.53768E-05,8.614151778
0.51,3.539E-05,9.934381893,-5.65935E-06,-3.96317E-06,-2.102801196,0,0,-1.44917E-05,2.72055E-05,8.616153996
0.52,3.54355E-05,9.934619018,-5.62702E-06,-4.03837E-06,-2.202145011,0,0,-1.45893E-05,2.89545E-05,8.617758909
0.53,3.5521E-05,9.934773541,-5.59674E-06,-4.11133E-06,-2.301490943,0,0,-1.46765E-05,3.05864E-05,8.620697776
0.54,3.56407E-05,9.934908452,-5.56858E-06,-4.18166E-06,-2.40083816,0,0,-1.47526E-05,3.21043E-05,8.625057016
0.55,3.5789E-05,9.935098345,-5.54245E-06,-4.24923E-06,-2.500186205,0,0,-1.48176E-05,3.35381E-05,8.629525504
0.56,3.59623E-05,9.935362873,-5.51812E-06,-4.31404E-06,-2.599535407,0,0,-1.48721E-05,3.49127E-05,8.632724431
0.57,3.6159E-05,9.93565568,-5.49527E-06,-4.37605E-06,-2.698886565,0,0,-1.49165E-05,3.62256E-05,8.634418486
0.58,3.6377E-05,9.935912179,-5.47358E-06,-4.43516E-06,-2.798240249,0,0,-1.49514E-05,3.74522E-05,8.635592971
0.59,3.66125E-05,9.936107845,-5.45268E-06,-4.49126E-06,-2.897596386,0,0,-1.49771E-05,3.85733E-05,8.637458524
0.6,3.68601E-05,9.936275025,-5.43229E-06,-4.5444E-06,-2.996954449,0,0,-1.49941E-05,3.95957E-05,8.640372217
0.61,3.71147E-05,9.936468282,-5.41216E-06,-4.59478E-06,-3.096314016,0,0,-1.5003E-05,4.05497E-05,8.643624977
0.62,3.73733E-05,9.936714294,-5.39216E-06,-4.64269E-06,-3.195675181,0,0,-1.50045E-05,4.1467E-05,8.646182713
0.63,3.76347E-05,9.936991701,-5.37228E-06,-4.68837E-06,-3.295038457,0,0,-1.49996E-05,4.23586E-05,8.647627553
0.64,3.7899E-05,9.937255091,-5.35258E-06,-4.73197E-06,-3.394404333,0,0,-1.49888E-05,4.32148E-05,8.648456349
0.65,3.81654E-05,9.937477225,-5.33318E-06,-4.77358E-06,-3.493772891,0,0,-1.49726E-05,4.40212E-05,8.649548793
0.66,3.84322E-05,9.937670648,-5.31422E-06,-4.81331E-06,-3.593143821,0,0,-1.49514E-05,4.47789E-05,8.651362443
0.67,3.86974E-05,9.937872184,-5.29588E-06,-4.85137E-06,-3.692516777,0,0,-1.49256E-05,4.55078E-05,8.653587024
0.68,3.89606E-05,9.938108035,-5.27832E-06,-4.88802E-06,-3.791891714,0,0,-1.48956E-05,4.62319E-05,8.655507216
