driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,Xin,Yin,Xout,Yout
0,0,0,5.046531133,1.220629499,-3.680160376,-3.662489925
-4.17402E-05,-0.010928986,-0.182984147,-3.708777199,-3.611348397,5.017914309,1.271771027
-3.9552E-05,-0.010356053,-0.173391532,-3.737391962,-3.560210552,4.989299546,1.322908873
-3.73639E-05,-0.00978312,-0.163798899,-3.765992357,-3.509098384,4.960699152,1.37402104
-3.51764E-05,-0.009210358,-0.154209149,-3.794571248,-3.458024645,4.932120261,1.425094779
-3.29899E-05,-0.008637866,-0.144623907,-3.823129263,-3.406988213,4.903562245,1.476131211
-3.08044E-05,-0.00806563,-0.135042942,-3.85167184,-3.355979372,4.875019668,1.527140053
-2.86196E-05,-0.007493569,-0.12546493,-3.880204392,-3.304988447,4.846487117,1.578130978
-2.64352E-05,-0.006921612,-0.115888645,-3.908729227,-3.254011312,4.817962282,1.629108112
-2.4251E-05,-0.006349732,-0.106313654,-3.937245912,-3.203048743,4.789445597,1.680070682
-2.20672E-05,-0.005777943,-0.096740176,-3.965753693,-3.152102086,4.760937816,1.731017339
-1.98838E-05,-0.00520626,-0.087168482,-3.994253357,-3.101169934,4.732438151,1.78194949
-1.77008E-05,-0.004634678,-0.077598467,-4.022747065,-3.050248428,4.703944444,1.832870997
-1.55181E-05,-0.004063169,-0.068029699,-4.051236794,-2.999334032,4.675454715,1.883785393
-1.33356E-05,-0.003491713,-0.058461788,-4.079723161,-2.948425644,4.646968348,1.934693781
-1.11533E-05,-0.002920302,-0.048894651,-4.108205721,-2.89752406,4.618485788,1.985595364
-8.97114E-06,-0.002348946,-0.039328435,-4.136684294,-2.846629601,4.590007215,2.036489823
-6.78924E-06,-0.001777651,-0.029763228,-4.165159945,-2.795740363,4.561531563,2.087379061
-4.60752E-06,-0.001206402,-0.020198812,-4.193634686,-2.744852753,4.533056823,2.138266671
-2.42578E-06,-0.00063515,-0.010634332,-4.222110208,-2.693963746,4.5045813,2.189155679
-2.43749E-07,-6.38216E-05,-0.001068566,-4.250586831,-2.643072773,4.476104678,2.240046652
-0.130200364,0,0,-4.27906354,-2.592181644,4.447627969,2.29093778
-0.279625029,0,0,-4.307539008,-2.541292735,4.419152501,2.34182669
-0.429045912,0,0,-2.640599962,-4.314987967,2.411428146,4.315018522
-0.578461239,0,0,-0.004158543,5.000000599,-0.005491845,-4.999999312
-0.727872072,0,0,-0.124901439,-4.999983391,-0.123568138,5.00001652
-0.877280622,0,0,-0.244311227,-4.99996747,-0.242977926,5.000032441
-1.02668799,0,0,-0.36353209,-4.999956054,-0.36257424,5.0000439
