driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,D1,D2
0,0,0,5.00100014,5.00100014
2.867123451,0,0,5.00100014,5.00100014
2.767111434,0,0,5.000999879,5.000999879
2.667112474,0,0,5.000998496,5.000998496
2.56718272,0,0,5.000996411,5.000996411
2.467357361,0,0,5.000994243,5.000994243
2.367640652,0,0,5.000992432,5.000992432
2.268014837,0,0,5.000991047,5.000991047
2.168458584,0,0,5.000989914,5.000989914
2.068959255,0,0,5.000988874,5.000988874
1.969512169,0,0,5.000987941,5.000987941
1.87011206,0,0,5.000987238,5.000987238
1.770747292,0,0,5.000986838,5.000986838
1.671402673,0,0,5.00098665,5.00098665
1.572067498,0,0,5.000986487,5.000986487
1.472740557,0,0,5.000986218,5.000986218
1.373427145,0,0,5.000985878,5.000985878
1.274130875,0,0,5.000985619,5.000985619
1.174847634,0,0,5.000985572,5.000985572
1.075566767,0,0,5.00098573,5.00098573
0.976277941,0,0,5.000985961,5.000985961
0.876977458,0,0,5.000986122,5.000986122
0.777668899,0,0,5.000986162,5.000986162
0.678358299,0,0,5.000986144,5.000986144
0.579048603,0,0,5.00098616,5.00098616
0.479738096,0,0,5.000986244,5.000986244
0.380423388,0,0,5.000986346,5.000986346
0.281103516,0,0,5.000986394,5.000986394
0.181781224,0,0,5.000986363,5.000986363
0.08246051,0,0,5.000430364,5.000430364
0.01685694,0,0,5.001769386,5.001769386
-0.116173114,0,0,5.000986322,5.000986322
-0.215491752,0,0,5.000986415,5.000986415
-0.314815088,0,0,5.00098649,5.00098649
-0.414142179,0,0,5.000986506,5.000986506
-0.513470085,0,0,5.000986478,5.000986478
-0.612796573,0,0,5.000986454,5.000986454
-0.712121839,0,0,5.00098647,5.00098647
-0.81144793,0,0,5.000986522,5.000986522
-0.910776648,0,0,5.000986574,5.000986574
-1.010107962,0,0,5.000986593,5.000986593
-1.109440251,0,0,5.000986581,5.000986581
-1.208771939,0,0,5.000986567,5.000986567
-1.308102929,0,0,5.000986581,5.000986581
-1.407434591,0,0,5.000986624,5.000986624
-1.506768464,0,0,5.000986676,5.000986676
-1.606104948,0,0,5.00098671,5.00098671
-1.705443132,0,0,5.000986719,5.000986719
-1.80478177,0,0,5.00098672,5.00098672
-1.904120442,0,0,5.000986735,5.000986735
-2.003459868,0,0,5.000986773,5.000986773
-2.102801196,0,0,5.000986822,5.000986822
-2.202145011,0,0,5.000986864,5.000986864
-2.301490943,0,0,5.00098689,5.00098689
-2.40083816,0,0,5.000986906,5.000986906
-2.500186205,0,0,5.000986929,5.000986929
-2.599535407,0,0,5.000986968,5.000986968
-2.698886565,0,0,5.000987018,5.000987018
-2.798240249,0,0,5.000987067,5.000987067
-2.897596386,0,0,5.000987105,5.000987105
-2.996954449,0,0,5.000987135,5.000987135
-3.096314016,0,0,5.000987167,5.000987167
-3.195675181,0,0,5.000987209,5.000987209
-3.295038457,0,0,5.00098726,5.00098726
-3.394404333,0,0,5.000987314,5.000987314
-3.493772891,0,0,5.000987361,5.000987361
-3.593143821,0,0,5.000987401,5.000987401
-3.692516777,0,0,5.00098744,5.00098744
-3.791891714,0,0,5.000987486,5.000987486
-3.891268927,0,0,5.000987538,5.000987538
-3.990648783,0,0,5.000987593,5.000987593
-4.09003142,0,0,5.000987645,5.000987645
-4.189416676,0,0,5.000987692,5.000987692
-4.288804284,0,0,5.000987737,5.000987737
-4.388194136,0,0,5.000987784,5.000987784
-4.487586378,0,0,5.000987837,5.000987837
-4.586981261,0,0,5.000987892,5.000987892
-4.686378929,0,0,5.000987946,5.000987946
-4.785779311,0,0,5.000987996,5.000987996
-4.885182216,0,0,5.000988044,5.000988044
-4.984587518,0,0,5.000988092,5.000988092
-5.083995263,0,0,5.000988144,5.000988144
-5.183405614,0,0,5.000988198,5.000988198
-5.282818693,0,0,5.000988252,5.000988252
-5.382234483,0,0,5.000988304,5.000988304
-5.481652856,0,0,5.000988353,5.000988353
-5.581073695,0,0,5.000988402,5.000988402
-5.680496994,0,0,5.000988452,5.000988452
-5.779922847,0,0,5.000988505,5.000988505
-5.879351349,0,0,5.000988558,5.000988558
-5.978782513,0,0,5.000988609,5.000988609
-6.07821626,0,0,5.000988659,5.000988659
-6.177652496,0,0,5.000988708,5.000988708
-6.27709119,0,0,5.000988757,5.000988757
-6.376532391,0,0,5.000988809,5.000988809
-6.475976169,0,0,5.00098886,5.00098886
-6.57542255,0,0,5.000988911,5.000988911
-6.674871492,0,0,5.000988961,5.000988961
-6.774322928,0,0,5.00098901,5.00098901
-6.87377682,0,0,5.000989059,5.000989059
-6.973233189,0,0,5.000989109,5.000989109
-7.072692084,0,0,5.00098916,5.00098916
-7.172153537,0,0,5.000989211,5.000989211
-7.27161753,0,0,5.00098926,5.00098926
-7.371084019,0,0,5.000989309,5.000989309
-7.47055297,0,0,5.000989358,5.000989358
-7.570024389,0,0,5.000989408,5.000989408
-7.669498309,0,0,5.000989459,5.000989459
-7.76897476,0,0,5.000989509,5.000989509
-7.868453739,0,0,5.000989559,5.000989559
-7.967935222,0,0,5.000989608,5.000989608
-8.067419181,0,0,5.000989657,5.000989657
-8.166905615,0,0,5.000989707,5.000989707
-8.266394545,0,0,5.000989757,5.000989757
-8.365885995,0,0,5.000989807,5.000989807
-8.465379972,0,0,5.000989857,5.000989857
-8.564876463,0,0,5.000989907,5.000989907
-8.664375448,0,0,5.000989956,5.000989956
-8.763876924,0,0,5.000990006,5.000990006
-8.8633809,0,0,5.000990056,5.000990056
-8.962887396,0,0,5.000990107,5.000990107
-9.062396422,0,0,5.000990157,5.000990157
-9.161907971,0,0,5.000990207,5.000990207
-9.261422031,0,0,5.000990257,5.000990257
-9.360938594,0,0,5.000990306,5.000990306
-9.460457665,0,0,5.000990357,5.000990357
-9.559979257,0,0,5.000990407,5.000990407
-9.659503378,0,0,5.000990457,5.000990457
-9.759030027,0,0,5.000990507,5.000990507
-9.858559193,0,0,5.000990557,5.000990557
-9.958090869,0,0,5.000990607,5.000990607
-10.05762506,0,0,5.000990657,5.000990657
-10.15716176,0,0,5.000990708,5.000990708
-10.25670098,0,0,5.000990758,5.000990758
-10.35624273,0,0,5.000990808,5.000990808
-10.45578699,0,0,5.000990858,5.000990858
-10.55533375,0,0,5.000990907,5.000990907
-10.65488302,0,0,5.000990957,5.000990957
-10.75443479,0,0,5.000991007,5.000991007
-10.85398907,0,0,5.000991057,5.000991057
-10.95354585,0,0,5.000991107,5.000991107
-11.05310513,0,0,5.000991156,5.000991156
-11.1526669,0,0,5.000991206,5.000991206
-11.25223115,0,0,5.000991255,5.000991255
-11.35179788,0,0,5.000991305,5.000991305
-11.4513671,0,0,5.000991354,5.000991354
-11.55093879,0,0,5.000991403,5.000991403
-11.65051295,0,0,5.000991452,5.000991452
-11.75008958,0,0,5.000991501,5.000991501
-11.84966866,0,0,5.00099155,5.00099155
-11.94925019,0,0,5.000991599,5.000991599
-12.04883417,0,0,5.000991647,5.000991647
-12.1484206,0,0,5.000991696,5.000991696
-12.24800946,0,0,5.000991744,5.000991744
-12.34760075,0,0,5.000991792,5.000991792
-12.44719446,0,0,5.00099184,5.00099184
-12.54679058,0,0,5.000991888,5.000991888
-12.64638912,0,0,5.000991936,5.000991936
-12.74599006,0,0,5.000991984,5.000991984
-12.84559339,0,0,5.000992032,5.000992032
-12.94519912,0,0,5.000992079,5.000992079
-13.04480723,0,0,5.000992126,5.000992126
-13.14441771,0,0,5.000992174,5.000992174
-13.24403056,0,0,5.000992221,5.000992221
-13.34364577,0,0,5.000992268,5.000992268
-13.44326334,0,0,5.000992314,5.000992314
-13.54288325,0,0,5.000992361,5.000992361
-13.64250551,0,0,5.000992407,5.000992407
