Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle.Side_Slip_Angle,Gyro.gyro_X,Gyro.gyro_Y,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
4.24E-07,10,-4.99E-06,-4.70E-11,0,-1.156026815,2.63E-05,0,0,0,0,0
1.04E-06,10.00169493,-4.98E-06,-2.00E-09,6.90E-08,-1.05601573,2.63E-05,2.867123451,0,0,-1.93E-06,-3.1E-11
2.28E-06,9.998214342,-4.97E-06,-1.14E-08,2.09E-07,-0.956011038,2.63E-05,2.767111434,0,0,-1.94E-06,-3.6374E-08
4.09E-06,9.989797769,-4.94E-06,-3.32E-08,4.14E-07,-0.856067854,2.63E-05,2.667112474,0,0,-1.97E-06,-2.13692E-07
6.33E-06,9.979199139,-4.88E-06,-7.09E-08,6.67E-07,-0.756222331,2.64E-05,2.56718272,0,0,-2.05E-06,-5.39708E-07
8.84E-06,9.969275889,-4.81E-06,-1.27E-07,9.53E-07,-0.656481437,2.64E-05,2.467357361,0,0,-2.17E-06,-8.85483E-07
1.15E-05,9.961429602,-4.72E-06,-2.04E-07,1.26E-06,-0.556829745,2.65E-05,2.367640652,0,0,-2.35E-06,-9.9978E-07
1.43E-05,9.955322871,-4.63E-06,-3.01E-07,1.57E-06,-0.457247028,2.66E-05,2.268014837,0,0,-2.59E-06,-5.58584E-07
1.70E-05,9.949942662,-4.55E-06,-4.16E-07,1.89E-06,-0.357720969,2.67E-05,2.168458584,0,0,-2.88E-06,7.38811E-07
1.98E-05,9.944815259,-4.47E-06,-5.47E-07,2.19E-06,-0.258247459,2.68E-05,2.068959255,0,0,-3.22E-06,3.08462E-06
2.25E-05,9.940357631,-4.42E-06,-6.91E-07,2.49E-06,-0.158822485,2.70E-05,1.969512169,0,0,-3.60E-06,6.57109E-06
2.50E-05,9.937243207,-4.39E-06,-8.46E-07,2.77E-06,-0.059435796,2.72E-05,1.87011206,0,0,-4.01E-06,1.12199E-05
2.75E-05,9.935554404,-4.38E-06,-1.01E-06,3.04E-06,0.039927186,2.73E-05,1.770747292,0,0,-4.44E-06,1.69618E-05
2.99E-05,9.934571304,-4.40E-06,-1.18E-06,3.30E-06,0.139277645,2.75E-05,1.671402673,0,0,-4.89E-06,2.35661E-05
3.23E-05,9.933362349,-4.44E-06,-1.35E-06,3.54E-06,0.238617788,2.77E-05,1.572067498,0,0,-5.35E-06,3.0595E-05
3.46E-05,9.931575069,-4.50E-06,-1.52E-06,3.76E-06,0.337942874,2.79E-05,1.472740557,0,0,-5.82E-06,3.74705E-05
3.68E-05,9.929687597,-4.57E-06,-1.68E-06,3.98E-06,0.437248913,2.81E-05,1.373427145,0,0,-6.29E-06,4.36338E-05
3.88E-05,9.928524438,-4.66E-06,-1.84E-06,4.17E-06,0.536539065,2.83E-05,1.274130875,0,0,-6.75E-06,4.86725E-05
4.07E-05,9.928508868,-4.75E-06,-1.99E-06,4.35E-06,0.635823279,2.85E-05,1.174847634,0,0,-7.20E-06,5.24029E-05
4.25E-05,9.929314766,-4.84E-06,-2.13E-06,4.50E-06,0.735111999,2.87E-05,1.075566767,0,0,-7.64E-06,5.46896E-05
4.40E-05,9.93017539,-4.94E-06,-2.25E-06,4.63E-06,0.834409717,2.89E-05,0.976277941,0,0,-8.06E-06,5.55205E-05
4.54E-05,9.930517922,-5.03E-06,-2.37E-06,4.74E-06,0.93371371,2.91E-05,0.876977458,0,0,-8.47E-06,5.50495E-05
4.65E-05,9.930352375,-5.12E-06,-2.46E-06,4.83E-06,1.033018332,2.93E-05,0.777668899,0,0,-8.86E-06,5.35687E-05
4.74E-05,9.930122197,-5.20E-06,-2.55E-06,4.89E-06,1.132320541,2.95E-05,0.678358299,0,0,-9.22E-06,5.12822E-05
4.80E-05,9.930218306,-5.27E-06,-2.62E-06,4.92E-06,1.231621894,2.97E-05,0.579048603,0,0,-9.57E-06,4.84137E-05
4.83E-05,9.930626168,-5.34E-06,-2.68E-06,4.94E-06,1.330925966,3.00E-05,0.479738096,0,0,-9.89E-06,4.51498E-05
4.84E-05,9.930994763,-5.40E-06,-2.73E-06,4.93E-06,1.430234269,3.02E-05,0.380423388,0,0,-1.02E-05,4.15834E-05
4.83E-05,9.931008491,-5.46E-06,-2.77E-06,4.90E-06,1.529544633,3.04E-05,0.281103516,0,0,-1.05E-05,3.77532E-05
4.80E-05,9.930689865,-5.51E-06,-2.80E-06,4.85E-06,1.62885329,3.06E-05,0.181781224,0,0,-1.07E-05,3.37315E-05
4.74E-05,9.930366647,-5.55E-06,-2.83E-06,4.79E-06,1.728158404,3.08E-05,0.08246051,0,0,-1.10E-05,2.9673E-05
4.68E-05,9.930365297,-5.59E-06,-2.85E-06,4.71E-06,1.82746171,3.10E-05,0.01685694,0,0,-1.12E-05,2.57796E-05
4.60E-05,9.930728761,-5.63E-06,-2.87E-06,4.63E-06,1.926766939,3.11E-05,-0.116173114,0,0,-1.14E-05,2.22142E-05
4.51E-05,9.931204816,-5.67E-06,-2.89E-06,4.54E-06,2.026076651,3.13E-05,-0.215491752,0,0,-1.16E-05,1.9045E-05
4.42E-05,9.931488936,-5.71E-06,-2.91E-06,4.45E-06,2.125390364,3.15E-05,-0.314815088,0,0,-1.18E-05,1.62644E-05
4.32E-05,9.931485042,-5.74E-06,-2.94E-06,4.36E-06,2.224705436,3.16E-05,-0.414142179,0,0,-1.20E-05,1.38608E-05
4.23E-05,9.931357707,-5.77E-06,-2.96E-06,4.27E-06,2.324019638,3.17E-05,-0.513470085,0,0,-1.22E-05,1.18783E-05
4.14E-05,9.93135556,-5.80E-06,-2.99E-06,4.18E-06,2.423333013,3.18E-05,-0.612796573,0,0,-1.23E-05,1.04018E-05
4.05E-05,9.931585638,-5.83E-06,-3.03E-06,4.10E-06,2.522647535,3.19E-05,-0.712121839,0,0,-1.25E-05,9.49219E-06
3.97E-05,9.931939451,-5.85E-06,-3.07E-06,4.03E-06,2.621965138,3.20E-05,-0.81144793,0,0,-1.26E-05,9.13789E-06
3.90E-05,9.932216169,-5.87E-06,-3.12E-06,3.97E-06,2.721286049,3.21E-05,-0.910776648,0,0,-1.28E-05,9.25689E-06
3.83E-05,9.932311626,-5.89E-06,-3.17E-06,3.91E-06,2.820608834,3.22E-05,-1.010107962,0,0,-1.30E-05,9.7526E-06
3.77E-05,9.93230004,-5.89E-06,-3.23E-06,3.86E-06,2.919931912,3.22E-05,-1.109440251,0,0,-1.31E-05,1.0551E-05
3.72E-05,9.932349619,-5.89E-06,-3.29E-06,3.81E-06,3.019255041,3.23E-05,-1.208771939,0,0,-1.33E-05,1.15538E-05
3.68E-05,9.932564418,-5.89E-06,-3.35E-06,3.77E-06,3.118579465,3.23E-05,-1.308102929,0,0,-1.34E-05,1.28875E-05
3.64E-05,9.93289949,-5.87E-06,-3.42E-06,3.74E-06,3.217906735,3.24E-05,-1.407434591,0,0,-1.36E-05,1.44684E-05
3.61E-05,9.933215297,-5.85E-06,-3.50E-06,3.71E-06,3.317237384,3.24E-05,-1.506768464,0,0,-1.37E-05,1.62161E-05
3.58E-05,9.933408533,-5.83E-06,-3.57E-06,3.69E-06,3.416570619,3.24E-05,-1.606104948,0,0,-1.39E-05,1.80338E-05
3.56E-05,9.933497009,-5.80E-06,-3.65E-06,3.67E-06,3.515905196,3.24E-05,-1.705443132,0,0,-1.40E-05,1.98586E-05
3.55E-05,9.933589945,-5.76E-06,-3.73E-06,3.66E-06,3.615240576,3.23E-05,-1.80478177,0,0,-1.41E-05,2.16838E-05
3.54E-05,9.933782463,-5.73E-06,-3.81E-06,3.65E-06,3.714577336,3.23E-05,-1.904120442,0,0,-1.43E-05,2.35237E-05
3.54E-05,9.934074525,-5.69E-06,-3.89E-06,3.65E-06,3.813916564,3.23E-05,-2.003459868,0,0,-1.44E-05,2.53768E-05
3.54E-05,9.934381893,-5.66E-06,-3.96E-06,3.65E-06,3.913258876,3.22E-05,-2.102801196,0,0,-1.45E-05,2.72055E-05
3.54E-05,9.934619018,-5.63E-06,-4.04E-06,3.65E-06,4.01260396,3.22E-05,-2.202145011,0,0,-1.46E-05,2.89545E-05
3.55E-05,9.934773541,-5.60E-06,-4.11E-06,3.65E-06,4.111950975,3.21E-05,-2.301490943,0,0,-1.47E-05,3.05864E-05
3.56E-05,9.934908452,-5.57E-06,-4.18E-06,3.66E-06,4.211299365,3.21E-05,-2.40083816,0,0,-1.48E-05,3.21043E-05
3.58E-05,9.935098345,-5.54E-06,-4.25E-06,3.67E-06,4.310649332,3.20E-05,-2.500186205,0,0,-1.48E-05,3.35381E-05
3.60E-05,9.935362873,-5.52E-06,-4.31E-06,3.68E-06,4.410001587,3.19E-05,-2.599535407,0,0,-1.49E-05,3.49127E-05
3.62E-05,9.93565568,-5.50E-06,-4.38E-06,3.70E-06,4.509356685,3.19E-05,-2.698886565,0,0,-1.49E-05,3.62256E-05
3.64E-05,9.935912179,-5.47E-06,-4.44E-06,3.72E-06,4.608714575,3.18E-05,-2.798240249,0,0,-1.50E-05,3.74522E-05
3.66E-05,9.936107845,-5.45E-06,-4.49E-06,3.73E-06,4.708074721,3.17E-05,-2.897596386,0,0,-1.50E-05,3.85733E-05
3.69E-05,9.936275025,-5.43E-06,-4.54E-06,3.75E-06,4.807436636,3.16E-05,-2.996954449,0,0,-1.50E-05,3.95957E-05
3.71E-05,9.936468282,-5.41E-06,-4.59E-06,3.77E-06,4.906800311,3.15E-05,-3.096314016,0,0,-1.50E-05,4.05497E-05
